DIRECCION_BASE	count
AV AVENIDA PRIMERO DE MAYO-KR 69B	31
AK 68-CL 78	31
CL 26-KR 112	31
AV AVENIDA DEL SUR-KR 76	31
CL 106-KR 7	31
KR 45-CL 147	31
AC 26-KR 66	31
AV AVENIDA CARACAS-CL 7	31
CL 17-KR 69B	31
AV AVENIDA BOYACA-CL 6D	31
KR 24-CL 46 S	31
KR 30-CL 4	31
KR 72-CL 80	31
AV AVENIDA CIUDAD DE CALI-AV AVENIDA CIUDAD DE VILLAVICENCIO	31
CL 127-KR 14	31
AV AVENIDA BOYACA-CL 65A S	31
AV AVENIDA CIUDAD DE CALI-CL 9	31
CL 80-KR 81	31
KR 80-CL 51 S	31
AV AVENIDA CARACAS-CL 48 S	31
CL 127-KR 13	31
KR 14-CL 65 S	30
KR 7-CL 113	30
KR 68-CL 12A	30
KR 7-CL 77	30
KR 70-CL 63	30
CL 80-KR 90	30
KR 45-CL 166	30
CL 145-KR 91	30
KR 10-CL 8	30
CL 26-KR 68D	30
KR 86-CL 13	30
KR 11-CL 72	30
AK 30-CL 53	30
AK 45-CL 142	30
KR 9-CL 119	30
CL 19-KR 69F	30
AV AVENIDA SUBA-CL 138	30
CL 19-KR 10	30
KR 27-CL 8	30
KR 86-CL 63	30
AV AVENIDA PRIMERO DE MAYO-KR 30	30
CL 72-KR 91	30
CL 132-KR 50	30
AV AVENIDA PRIMERA DE MAYO-KR 69B	30
AV AVENIDA BOYACA-CL 2A S	30
AC 13-KR 68D	30
CL 170-KR 15	30
AV AVENIDA PRIMERA DE MAYO-CL 40 S	30
AV AVENIDA BOYACA-CL 147	30
AV AVENIDA BOYACA-CL 43C S	30
KR 30-CL 51	30
KR 7-CL 47	30
KR 24-CL 8	30
KR 45-CL 182	30
AV AVENIDA CIUDAD DE CALI-CL 23D	30
CL 19-KR 5	30
AV AVENIDA DEL SUR-KR 72D	30
CL 19-KR 33	30
CL 13-KR 22	30
CL 45A-KR 50A S	29
CL 63-KR 69	29
KR 24-CL 63	29
DG 2-KR 80	29
CL 63-KR 13	29
KR 106-CL 15A	29
CL 72-KR 10	29
CL 183-KR 20	29
CL 26-KR 25	29
CL 63-KR 112	29
CL 26-KR 24	29
AC 80-KR 114	29
CL 80-KR 118	29
AC 13-KR 65	29
AV AVENIDA SUBA-KR 91	29
CL 100-KR 53	29
KR 70-CL 26	29
CL 52-KR 9 S	29
KR 7-CL 74	29
KR 30-CL 64A	29
AC 26-KR 68B	29
KR 9-CL 100	29
AK 45-CL 197	29
KR 30-CL 22C	29
AV AVENIDA BOYACA-CL 77A	29
KR 24-CL 48C S	29
AV AVENIDA BOYACA-CL 38 S	29
AC 26-KR 92	29
KR 30-CL 52	29
CL 19-KR 32	29
KR 104-CL 145	28
KR 68-CL 44	28
KR 9-CL 161	28
CL 170-KR 90	28
CL 19-KR 9	28
KR 14-CL 60	28
AV AVENIDA CARACAS-CL 32	28
KR 7-CL 73	28
AV AVENIDA DEL SUR-CL 57R S	28
KR 65-CL 11	28
AK 68-CL 1	28
CL 53-KR 13	28
AK 68-CL 64	28
KR 7-CL 170	28
CL 170-KR 54	28
KR 30-CL 23	28
AV AVENIDA CARACAS-CL 67	28
CL 26-KR 7	28
KR 50-CL 44	28
KR 7-CL 186	28
CL 72-KR 77A	28
AV AVENIDA DEL SUR-AV AVENIDA BOYACA	28
CL 17-KR 86	28
CL 6-KR 72	28
KR 68-CL 11	28
AV AVENIDA BOYACA-CL 36 S	28
KR 50-CL 15	28
CL 63-KR 17	28
CL 6-KR 24	28
CL 100-KR 17	28
AV AVENIDA CIUDAD DE CALI-CL 64	28
CL 74-KR 23	28
AK 45-CL 108	28
AK 68-CL 68	28
CL 17-KR 137	28
AV AVENIDA CARACAS-CL 10	28
KR 50-CL 1B	27
CL 24-KR 86	27
KR 9-CL 147	27
CL 80-KR 100	27
CL 17-KR 116	27
CL 27-KR 7 S	27
AV AVENIDA PRIMERO DE MAYO-KR 69	27
CL 139-KR 104	27
CL 116-KR 19	27
KR 30-CL 24	27
CL 170-KR 58	27
AK 45-CL 191	27
CL 17-KR 99	27
KR 19-CL 67	27
KR 50-CL 22 S	27
KR 60-CL 53	27
CL 72-KR 68	27
AK 45-CL 82	27
CL 72-KR 81A	27
CL 13-KR 137	27
CL 19-KR 14	27
KR 45-CL 200	27
KR 13-CL 58	27
AV AVENIDA CIUDAD DE CALI-CL 33 S	27
AV AVENIDA DEL SUR-KR 71B	27
CL 17-KR 68D	27
KR 100-CL 24	27
KR 30-CL 7	27
AK 30-CL 92	27
CL 127-KR 7	27
AV AVENIDA BOYACA-CL 132	27
KR 33-CL 56 S	27
KR 89B-CL 59 S	27
KR 30-CL 86A	27
CL 6-KR 41A	27
KR 24-CL 80	27
KR 24-CL 53	27
CL 13-KR 29	27
CL 80-KR 89	27
KR 7-CL 86	27
CL 12-KR 72	27
KR 30-CL 29 S	27
CL 17-KR 135	27
CL 77-KR 16A	27
AK 45-CL 232	27
CL 80-KR 58	27
AV AVENIDA DE LAS AMERICAS-KR 32	27
CL 26-KR 29	27
AV AVENIDA CIUDAD DE CALI-CL 6C	27
AV AVENIDA DE LAS AMERICAS-KR 40	27
CL 82-KR 12	27
KR 45-CL 184	27
CL 127-KR 20	27
AV AVENIDA BOYACA-CL 34 S	26
CL 127-KR 54	26
AV AVENIDA BOYACA-CL 69B	26
