	Address	Latitude	Longitude
458	CL 73-KR 79C S	4.69769065	-74.1054795
459	DG 45B-TR 19 S	4.58469525	-74.1025863
460	KR 61B-CL 52A S	4.68193452	-74.1169702
461	AC 127C-KR 15	4.7102358	-74.0672467
462	CL 127C-KR 45A	4.7110035	-74.0543018
463	CL 139-KR 149	4.74775385	-74.12140475
464	CL 134-KR 13A	4.7332752	-74.0873155
465	AV AVENIDA CIUDAD DE CALI-KR 106	3.4746174	-76.4834017
466	DG 71-KR 80P S	4.6096006	-74.1940155
467	CL 1-KR 19 S	4.593446	-74.094686
468	CL 17A-KR 16B	4.6090592	-74.0792832
469	CL 78B-KR 58	4.67559576	-74.07574494
470	CL 127ABISC-KR 5B	4.7040901	-74.0258059
471	KR 5BIS-CL 48U S	4.63601925	-74.07015075
472	CL 10-KR 65	4.65175751	-74.14989572
473	KR 45A-CL 128A	4.7131349	-74.0546225
474	KR 14V-CL 69BIS S	4.5855727	-74.1019732
475	CL 74C-KR 7 S	4.6564242	-74.0548636
476	AV AVENIDA BOYACA-AC 152B	4.7383708	-74.0656285
477	AV AVENIDA BOYACA-CL 117A	4.66502215	-74.1129857
478	CL 5A-KR 72C	4.6425206	-74.15937085
479	CL 56-KR 88 S	4.64395345	-74.0689938
480	KR 87ABIS-CL 63 S	4.7110484	-74.0958135
481	CL 32B-KR 2	4.604361	-74.105646
482	CL 132D-KR 58	4.7227492	-74.0669716
483	KR 136-CL 139	4.7469458	-74.1144473
484	CL 42A-KR 12A SE	4.600081	-74.20096605
485	CL 70-KR 8	4.653428	-74.058186
486	CL 174A-KR 51A	4.7559364	-74.0506191
487	TR 70-CL 59C S	4.64677445	-74.0683266
488	CL 84BIS-KR 3A S	4.619597	-74.128985
489	CL 132A-KR 45	4.7432	-74.122072
490	CL 143B-KR 148B	4.7524084	-74.1187022
491	DG 70-AK 53 S	4.6663225	-74.0749824
